2016-06-04 15:27:25 status unpacked gcc-4.9-base:amd64 4.9.2-10
2016-06-04 15:27:26 status unpacked gcc-4.9-base:amd64 4.9.2-10
2016-06-04 15:27:26 install libgcc1:amd64 <none> 1:4.9.2-10
2016-06-04 15:27:26 status half-installed libgcc1:amd64 1:4.9.2-10
2016-06-04 15:27:26 status unpacked libgcc1:amd64 1:4.9.2-10
2016-06-04 15:27:26 status unpacked libgcc1:amd64 1:4.9.2-10
2016-06-04 15:27:26 install libc-bin:amd64 <none> 2.19-18+deb8u4
2016-06-04 15:27:26 status half-installed libc-bin:amd64 2.19-18+deb8u4
2016-06-04 15:27:27 status unpacked libc-bin:amd64 2.19-18+deb8u4
2016-06-04 15:27:27 status unpacked libc-bin:amd64 2.19-18+deb8u4
2016-06-04 15:27:28 upgrade libc6:amd64 2.19-18+deb8u4 2.19-18+deb8u4
2016-06-04 15:27:28 status half-configured libc6:amd64 2.19-18+deb8u4
2016-06-04 15:27:28 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-04 15:27:28 status half-installed libc6:amd64 2.19-18+deb8u4
2016-06-04 15:27:30 status half-installed libc6:amd64 2.19-18+deb8u4
2016-06-04 15:27:30 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-04 15:27:30 status unpacked libc6:amd64 2.19-18+deb8u4
2016-06-04 15:27:30 install multiarch-support:amd64 <none> 2.19-18+deb8u4
2016-06-04 15:27:30 status half-installed multiarch-support:amd64 2.19-18+deb8u4
2016-06-04 15:27:31 status unpacked multiarch-support:amd64 2.19-18+deb8u4
2016-06-04 15:27:31 status unpacked multiarch-support:amd64 2.19-18+deb8u4
2016-06-04 15:27:31 install grep:amd64 <none> 2.20-4.1
2016-06-04 15:27:31 status half-installed grep:amd64 2.20-4.1
2016-06-04 15:27:31 status unpacked grep:amd64 2.20-4.1
2016-06-04 15:27:31 status unpacked grep:amd64 2.20-4.1
2016-06-04 15:27:32 install gzip:amd64 <none> 1.6-4
2016-06-04 15:27:32 status half-installed gzip:amd64 1.6-4
2016-06-04 15:27:32 status unpacked gzip:amd64 1.6-4
